private_key,public_x,public_y,vertex_index
1,0,1,1
2,49141,8189,48947
3,72,611,77
4,50910,16405,50722
5,25483,61919,25433
6,49197,37886,48996
7,2914,27770,2911
8,62184,51878,61888
9,40798,24705,40702
10,37426,13555,37381
11,60141,6079,59943
12,47733,2117,47589
13,39142,2342,39056
14,23693,3274,23717
15,24216,17552,24219
16,59216,13143,59042
17,4349,53718,4334
18,58359,55934,58191
19,46200,37721,46075
20,431,10312,411
21,46313,49520,46190
22,44803,46199,44685
23,609,31053,597
24,22550,34858,22575
25,56765,57257,56555
26,32671,34045,32670
27,4568,21583,4521
28,43064,22936,42962
29,49828,49067,49614
30,38727,13602,38659
31,9643,43357,9566
32,24354,41057,24362
33,14587,20843,14473
34,25156,26828,25119
35,64641,51779,64322
36,39945,59307,39869
37,36913,51055,36860
38,26771,51856,26707
39,4427,57689,4397
40,56559,16525,56351
41,17384,49393,17344
42,44618,16573,44490
43,28591,49250,28543
44,33113,55305,33126
45,28346,64707,28301
46,25162,9899,25125
47,11870,19958,11832
48,20853,22296,20791
49,30346,39058,30320
50,33532,35287,33542
51,41596,23030,41501
52,43537,63231,43414
53,48855,50048,48678
54,59540,17087,59358
55,58132,2126,57955
56,48729,57401,48552
57,14338,25599,14217
58,31314,62797,31326
59,27277,38979,27224
60,64276,59060,63967
61,45566,160,45409
62,3707,9869,3691
63,36707,34105,36670
64,17001,26038,16956
65,65152,8299,64858
66,38293,63686,38231
67,35762,21584,35788
68,45108,19649,44976
69,27327,60380,27268
70,15510,44867,15393
71,48752,41224,48580
72,18028,53249,17972
73,35769,56823,35797
74,14077,53421,13972
75,29882,22419,29848
76,53509,7581,53319
77,24939,1598,24911
78,56643,43016,56435
79,4266,33495,4252
80,31644,64226,31638
81,16085,60141,15962
82,1304,51907,1248
83,55757,23267,55543
84,27368,24037,27312
85,11729,26289,11674
86,54153,19428,53959
87,61988,10601,61707
88,46382,35007,46256
89,27328,13568,27269
90,6642,36861,6619
91,27107,25928,27038
92,12600,49108,12561
93,1820,8194,1793
94,58033,11243,57860
95,14884,30395,14797
96,35029,45467,35033
97,50888,2629,50695
98,32576,47254,32575
99,182,23706,176
100,26457,63741,26372
101,50423,32418,50202
102,48565,36361,48400
103,423,14678,401
104,24729,51826,24706
105,13787,8798,13660
106,36004,807,36004
107,38896,42724,38822
108,18429,52944,18384
109,9786,42793,9729
110,42650,56221,42548
111,45516,41117,45359
112,5771,25580,5751
113,17802,26648,17742
114,47704,25222,47572
115,34087,47865,34122
116,55507,19256,55265
117,2951,48078,2949
118,47533,11033,47403
119,35460,3301,35496
120,25391,7503,25352
121,64161,50457,63842
122,54498,3828,54283
123,30810,41355,30810
124,65083,32333,64774
125,8525,34816,8524
126,13762,62580,13637
127,1614,3572,1588
128,32124,57774,32116
129,37618,9839,37580
130,37213,26861,37149
131,7117,56432,7082
132,21521,25829,21463
133,22425,47561,22436
134,14555,55834,14433
135,31528,57362,31541
136,57721,42603,57554
137,18567,153,18511
138,61532,3310,61275
139,46789,32521,46665
140,34781,58996,34799
141,52370,40036,52192
142,11020,420,10959
143,11513,3527,11468
144,20103,25621,20038
145,50111,44591,49885
146,8796,29150,8801
147,19339,18379,19262
148,41350,757,41263
149,54223,48886,54025
150,7325,8119,7292
151,54854,13735,54632
152,40516,38221,40422
153,41175,30980,41087
154,32622,11383,32626
155,35079,43881,35093
156,5659,28220,5648
157,31905,56199,31904
158,24365,55954,24375
159,26325,30075,26230
160,12023,16783,11981
161,29094,60714,29050
162,16719,57338,16644
163,46876,29470,46744
164,61936,45358,61655
165,9311,56995,9277
166,29637,52945,29610
167,8589,9487,8596
168,3172,9426,3170
169,54160,37784,53970
170,42564,33228,42458
171,10794,7579,10728
172,4136,15852,4123
173,12125,22711,12078
174,47914,44757,47765
175,3324,62839,3328
176,63052,8946,62733
177,33719,62743,33738
178,65365,367,65056
179,17511,8322,17466
180,15597,42775,15470
181,62803,40308,62484
182,46081,16752,45946
183,24251,32419,24249
184,47762,30712,47613
185,34754,45722,34775
186,24616,32695,24593
187,7959,48758,7934
188,20338,47875,20285
189,44006,20528,43905
190,31972,42063,31976
191,42916,59408,42824
192,60330,41333,60141
193,60059,16628,59849
194,65510,29919,65211
195,51489,4471,51319
196,36059,65268,36058
197,55575,23765,55339
198,21835,25990,21805
199,8922,11354,8917
200,33155,5831,33174
201,38774,39681,38708
202,62979,33568,62661
203,62960,5437,62639
204,34515,41997,34543
205,37412,22148,37367
206,27933,24625,27888
207,3153,22264,3148
208,19729,2210,19644
209,20694,54628,20639
210,30432,5552,30411
211,44733,15822,44616
212,41699,49363,41600
213,43372,9305,43268
214,6829,29799,6783
215,18082,28836,18037
216,31854,44226,31859
217,34921,46531,34940
218,55536,62863,55296
219,2173,27617,2135
220,30605,51424,30583
221,63298,9067,62984
222,4328,57263,4313
223,27611,11011,27568
224,53002,37532,52802
225,59754,9313,59577
226,36168,3297,36151
227,19147,57181,19067
228,32212,61741,32208
229,5217,43235,5197
230,21600,34590,21570
231,25099,7707,25065
232,11981,17711,11941
233,3189,24171,3190
234,14545,7899,14415
235,55563,61134,55330
236,60457,625,60250
237,25519,62454,25467
238,53589,33578,53392
239,51763,37776,51594
240,1709,26746,1687
241,34209,60200,34235
242,17116,2363,17072
243,17067,44859,17022
244,60656,59104,60450
245,13694,37246,13590
246,4293,19581,4278
247,2225,57585,2195
248,40749,40731,40649
249,27766,63775,27730
250,43112,61545,43004
251,65190,25396,64897
252,35171,52015,35196
253,18047,24132,17997
254,27292,52499,27239
255,32778,2114,32797
256,14909,51280,14820
257,21547,47948,21497
258,51895,32184,51734
259,52743,4623,52566
260,43660,59479,43543
261,37050,30264,37010
262,10392,49827,10320
263,50040,8994,49817
264,52149,17020,51990
265,17123,4520,17078
266,22412,36673,22421
267,50992,47815,50805
268,33252,4417,33272
269,15401,36992,15268
270,47830,35862,47678
271,50632,34150,50432
272,65002,12499,64700
273,57342,8315,57149
274,2430,2389,2394
275,31705,42452,31702
276,53103,58902,52920
277,32401,15914,32401
278,24328,64975,24324
279,47153,31991,47026
280,11560,29321,11513
281,48134,20293,47998
282,52683,14515,52508
283,43874,24409,43756
284,20318,29970,20264
285,62786,56497,62467
286,20648,50449,20599
287,52852,1784,52676
288,25320,28992,25284
289,36997,36478,36946
290,18967,19148,18895
291,58840,39250,58675
292,49665,10059,49466
293,57776,4582,57610
294,8137,25606,8129
295,25842,24745,25768
296,10499,52957,10444
297,55902,60823,55703
298,7607,12876,7551
299,64652,11220,64339
300,13467,27438,13357
301,32347,31505,32345
302,51228,30517,51052
303,27391,7472,27337
304,878,46089,859
305,816,21194,804
306,58304,64666,58133
307,45432,23753,45282
308,41611,3950,41510
309,53633,6262,53442
310,26057,18589,25967
311,56186,58035,55986
312,64026,13095,63699
313,51662,18904,51504
314,31990,37604,31992
315,63490,55264,63200
316,16866,22241,16812
317,8546,16685,8551
318,6797,45703,6751
319,59881,61452,59707
320,13016,57986,12912
321,46931,20768,46800
322,37826,50495,37812
323,16622,47485,16536
324,20221,13565,20162
325,31326,20973,31338
326,16962,27208,16920
327,60533,23366,60330
328,10590,54045,10531
329,11459,59854,11420
330,53810,57566,53624
331,58827,21029,58658
332,43188,24357,43087
333,50872,7077,50679
334,2805,38160,2786
335,3712,6800,3694
336,563,13883,541
337,1672,48849,1645
338,3689,51794,3683
339,31530,22186,31544
340,49960,4932,49740
341,12472,14705,12419
342,61282,17773,61023
343,530,21511,513
344,534,20359,517
345,7876,40594,7843
346,56470,40600,56287
347,4502,59067,4473
348,54117,20236,53915
349,40804,37997,40706
350,34787,8681,34805
351,15511,22394,15394
352,63989,21908,63662
353,27604,63870,27562
354,43429,23989,43327
355,56370,57114,56174
356,46393,39820,46266
357,17703,53797,17651
358,57627,18580,57468
359,27794,45975,27759
360,2475,10502,2443
361,58260,44281,58086
362,62488,7500,62186
363,43543,1070,43422
364,1188,19536,1127
365,6358,10719,6337
366,16694,21611,16620
367,6771,23347,6728
368,65333,15859,65022
369,40160,8327,40062
370,39316,29007,39226
371,16520,50739,16419
372,53082,30818,52890
373,19695,35271,19620
374,49897,10513,49693
375,11542,56075,11499
376,6578,47425,6543
377,16182,15413,16058
378,65167,59978,64885
379,12608,3550,12567
380,18949,26433,18870
381,61877,24155,61599
382,45207,6604,45079
383,65445,40021,65145
384,576,37776,559
385,2464,38609,2428
386,18444,39459,18392
387,60424,22136,60213
388,65274,19,64967
389,50956,40054,50764
390,32458,44546,32463
391,20029,52932,19962
392,47651,40335,47515
393,6721,38400,6680
394,10710,207,10640
395,21756,6775,21730
396,56112,57156,55898
397,65314,25099,65008
398,23853,29106,23878
399,17707,7966,17658
400,21239,5498,21204
401,10926,29199,10873
402,10372,6871,10300
403,49552,58801,49342
404,6662,35866,6636
405,37565,33090,37527
406,45845,63981,45700
407,14328,6043,14207
408,36903,51193,36851
409,46877,11129,46746
410,1742,26623,1720
411,27818,29758,27783
412,24221,16314,24223
413,7848,3505,7812
414,55338,16167,55092
415,29957,6654,29921
416,1504,41593,1469
417,60835,2030,60603
418,2595,60813,2575
419,16413,17739,16316
420,62319,59224,62040
421,34361,391,34378
422,44484,65488,44355
423,16627,44909,16541
424,45938,10663,45803
425,21710,60969,21681
426,54076,28639,53868
427,41698,39022,41597
428,33332,39265,33331
429,3461,27224,3461
430,41045,12899,40952
431,59607,12366,59422
432,19856,37171,19791
433,39133,59085,39045
434,54014,28413,53820
435,42648,34001,42545
436,37409,25348,37366
437,5833,56210,5822
438,53343,57435,53152
439,1637,6256,1612
440,29174,53548,29145
441,30859,39624,30870
442,1236,11937,1173
443,63410,61521,63106
444,36399,44362,36385
445,15483,46337,15363
446,13947,44487,13845
447,1689,28549,1662
448,54086,26274,53882
449,12087,57445,12041
450,4495,2916,4469
451,9285,39529,9246
452,62175,7448,61876
453,47412,64830,47285
454,6895,44615,6859
455,5426,52923,5408
456,22543,42550,22565
457,48420,35212,48263
458,63028,14636,62714
459,38854,61540,38778
460,18109,45666,18071
461,22958,24137,22973
462,24183,22727,24191
463,59340,8666,59169
464,50525,48409,50304
465,1768,22152,1748
466,34245,51646,34276
467,7956,7631,7930
468,36972,53188,36924
469,16315,14611,16195
470,27137,30938,27073
471,740,28829,730
472,3230,1669,3229
473,43569,48741,43449
474,15566,25988,15445
475,63385,15233,63072
476,220,4758,215
477,34133,18718,34160
478,8219,62065,8229
479,52682,33111,52506
480,56560,27744,56353
481,63770,47296,63459
482,6396,7102,6379
483,49157,9070,48958
484,16804,391,16746
485,39615,33119,39520
486,10378,29114,10308
487,14568,64756,14449
488,56427,27280,56237
489,30117,13457,30092
490,34141,34154,34167
491,41571,18177,41479
492,40553,7609,40460
493,19435,61743,19367
494,50597,36848,50395
495,56306,43124,56115
496,22828,1637,22860
497,52463,63356,52293
498,1365,58038,1322
499,22178,44219,22185
500,64271,58842,63960
501,46487,24664,46369
502,19430,27867,19361
503,57592,29533,57424
504,14189,26321,14088
505,9695,20093,9632
506,20361,41652,20303
507,3215,31626,3214
508,2129,22058,2096
509,62071,24078,61772
510,46720,24274,46591
511,46970,60765,46838
512,44770,46884,44656
513,28280,57770,28248
514,1319,64,1263
515,39110,2403,39023
516,46181,14874,46045
517,11771,5992,11714
518,49760,14127,49549
519,44918,3454,44807
520,18043,49005,17995
521,7743,52828,7686
522,25139,18805,25099
523,46516,26793,46398
524,3511,40262,3513
525,5063,17558,5015
526,32707,63072,32710
527,29772,11937,29735
528,51194,12442,51023
529,8519,47161,8516
530,10155,64149,10080
531,54423,50754,54201
532,36820,2461,36769
533,42738,52130,42652
534,3935,8876,3941
535,38060,25719,38038
536,4800,63034,4765
537,15730,48557,15604
538,25285,18876,25248
539,33646,56366,33675
540,33589,59066,33612
541,38528,54234,38471
542,56309,27394,56118
543,59382,34569,59212
544,48793,12524,48623
545,36280,17320,36260
546,20754,48833,20695
547,44267,64132,44151
548,55857,57286,55656
549,62082,14076,61784
550,64257,57889,63948
551,19970,7233,19896
552,32625,64926,32629
553,24604,64405,24587
554,54737,62655,54521
555,5556,19301,5549
556,36177,29005,36161
557,31423,45375,31428
558,51695,15643,51526
559,56305,64979,56112
560,20121,31510,20062
561,39166,56891,39083
562,2849,20158,2829
563,62822,27098,62498
564,22947,4466,22960
565,60485,8871,60277
566,57433,6206,57245
567,22075,52652,22068
568,15165,47500,15043
569,51544,48171,51369
570,7576,4695,7518
571,17757,46890,17705
572,44756,7084,44637
573,8144,26988,8139
574,41512,32807,41413
575,45316,31968,45172
576,4883,9667,4855
577,35112,19725,35132
578,20837,37834,20768
579,47420,33597,47293
580,51049,33172,50858
581,32509,52930,32515
582,14465,18386,14344
583,40481,18168,40385
584,51942,27861,51780
585,62371,11066,62090
586,17972,48985,17910
587,40976,22187,40882
588,8288,17386,8297
589,1854,36697,1827
590,64968,8612,64661
591,54282,40275,54082
592,39321,43784,39231
593,10645,10198,10579
594,22857,18506,22883
595,41335,12941,41250
596,41461,4551,41371
597,17066,53116,17019
598,57126,39814,56926
599,36000,25325,36001
600,30839,4725,30845
601,6718,44732,6677
602,27705,15866,27664
603,23751,17048,23772
604,39477,49335,39368
605,38551,59082,38489
606,54460,5847,54240
607,27929,41677,27886
608,15619,39283,15494
609,63656,27057,63345
610,65476,11818,65174
611,32312,19817,32301
612,13865,31159,13755
613,37517,52454,37485
614,19364,16007,19283
615,64850,23285,64547
616,61263,36504,60998
617,48999,19438,48819
618,24185,8690,24194
619,18924,54186,18842
620,18518,27614,18462
621,37526,35074,37498
622,52979,613,52783
623,13182,27745,13083
624,21408,44858,21356
625,51369,40401,51205
626,48597,56986,48437
627,12182,57982,12129
628,40792,16749,40693
629,57584,58788,57416
630,3403,33228,3413
631,30055,20418,30030
632,10601,214,10536
633,65434,20675,65134
634,27955,40448,27905
635,39721,64563,39635
636,21560,48059,21511
637,38661,57075,38586
638,39716,662,39632
639,53654,27630,53461
640,55951,53249,55747
641,29181,65294,29155
642,42553,36268,42443
643,20935,25054,20890
644,5951,46640,5938
645,46697,48270,46565
646,21714,63190,21685
647,46064,7004,45932
648,15130,32243,15023
649,665,27813,652
650,48005,56465,47852
651,60066,15751,59857
652,61027,63655,60780
653,35252,54753,35280
654,6538,37515,6501
655,38452,38866,38396
656,64195,37903,63880
657,63233,11683,62913
658,62062,38409,61768
659,1364,7795,1319
660,62951,39855,62630
661,32409,25677,32411
662,21595,4,21563
663,21434,30707,21387
664,3190,47402,3192
665,23109,4946,23135
666,21234,40494,21200
667,10864,12187,10815
668,7910,39254,7878
669,27945,62732,27896
670,26187,56423,26095
671,51843,18628,51681
672,47537,63227,47406
673,17232,25489,17197
674,3164,2802,3165
675,61149,33358,60894
676,61058,2260,60820
677,18071,51838,18026
678,24156,21166,24163
679,33506,48157,33511
680,11764,29249,11702
681,21043,18460,20989
682,49967,11177,49744
683,18340,26800,18298
684,17652,58761,17592
685,28686,33413,28645
686,47084,15576,46951
687,16359,16292,16244
688,59663,50811,59481
689,61800,51365,61525
690,41291,44607,41198
691,1166,40582,1106
692,51326,1280,51161
693,30314,30882,30293
694,36470,15287,36444
695,52493,44323,52330
696,47159,44251,47029
697,41064,41858,40970
698,46969,10408,46835
699,39328,5532,39239
700,15049,40964,14946
701,41044,22307,40950
702,57851,19684,57678
703,49274,36905,49066
704,64994,18845,64690
705,4374,65268,4355
706,12778,60390,12711
707,43617,56733,43502
708,421,14263,399
709,48503,43470,48343
710,43587,37107,43470
711,41442,17622,41362
712,57063,12272,56852
713,35251,20008,35277
714,16433,3607,16337
715,6907,2319,6873
716,60599,35839,60407
717,31002,59971,31021
718,33146,52734,33165
719,1704,56270,1677
720,65104,43415,64798
721,25962,36819,25877
722,8158,21112,8156
723,65363,8600,65053
724,29689,8042,29654
725,44055,4065,43957
726,19870,25591,19804
727,35452,28238,35486
728,36659,32897,36631
729,46945,52048,46814
730,52716,27706,52538
731,13464,63694,13353
732,6986,31158,6948
733,57737,48502,57571
734,53389,48950,53199
735,13049,9329,12945
736,25691,38860,25634
737,15966,6390,15846
738,8948,3206,8934
739,37501,43279,37465
740,55941,20839,55736
741,63479,56537,63186
742,53761,39102,53582
743,57001,27163,56789
744,11648,57620,11604
745,53681,8527,53493
746,19894,39537,19820
747,35143,52255,35167
748,55098,49377,54858
749,65474,19515,65173
750,37800,50053,37780
751,16363,62844,16249
752,61314,21650,61060
753,46233,45211,46105
754,30668,31228,30659
755,11106,2146,11055
756,1967,26362,1927
757,21597,22480,21566
758,39242,59734,39151
759,14408,62202,14293
760,44935,63032,44830
761,17055,61070,17011
762,48110,17110,47975
763,56366,45317,56173
764,1394,32993,1352
765,46506,18456,46389
766,8797,2593,8802
767,7503,37226,7447
768,19735,9376,19650
769,6317,50650,6291
770,7730,24981,7676
771,54542,4625,54313
772,34651,32204,34665
773,34579,39049,34600
774,13131,3077,13028
775,5589,30350,5585
776,37837,64126,37823
777,9339,3419,9296
778,39661,18072,39580
779,18107,45699,18068
780,33024,20839,33027
781,33242,32664,33263
782,51305,38964,51141
783,31188,34356,31203
784,2632,6772,2608
785,457,17220,437
786,8578,27052,8584
787,48766,6434,48590
788,39464,52567,39353
789,6005,4987,5980
790,59386,52938,59214
791,34649,17688,34662
792,26768,18340,26701
793,9448,34276,9379
794,18838,17999,18766
795,58665,27905,58491
796,39572,46606,39469
797,1675,50611,1650
798,59794,8944,59625
799,33126,16684,33139
800,19554,32293,19467
801,14929,41087,14836
802,39536,13913,39443
803,1514,33884,1485
804,53540,14140,53346
805,48381,36417,48222
806,61286,18754,61029
807,8820,17395,8810
808,21824,51720,21793
809,59921,61402,59739
810,59993,2194,59787
811,25832,52916,25762
812,38370,40689,38320
813,33511,35787,33520
814,919,12358,889
815,14294,59546,14180
816,34356,3453,34373
817,11453,55360,11415
818,49883,41925,49681
819,6787,8323,6745
820,30018,4192,29982
821,7502,16134,7445
822,25236,35600,25206
823,50204,13134,49972
824,5192,56065,5164
825,34577,11176,34598
826,31007,62673,31025
827,46473,40625,46357
828,39740,31753,39654
829,50522,49858,50302
830,8061,29795,8054
831,64000,31200,63673
832,7977,23407,7954
833,48307,31214,48151
834,58183,50456,58006
835,61790,46179,61515
836,47701,41194,47567
837,57454,16395,57269
838,53759,18940,53578
839,41419,58263,41341
840,2076,9144,2045
841,56194,14281,55996
842,24038,11070,24043
843,38804,48164,38729
844,30625,11689,30604
845,41186,8206,41095
846,45706,42415,45561
847,17133,47594,17083
848,4939,62336,4900
849,6112,52376,6093
850,58407,19731,58239
851,21638,59531,21608
852,14445,49610,14327
853,24330,48232,24327
854,52645,5391,52468
855,62521,56387,62213
856,32230,55833,32227
857,31828,54206,31829
858,49775,11133,49563
859,47538,27174,47407
860,64896,14350,64592
861,29301,52193,29267
862,8644,21051,8645
863,15388,56881,15256
864,28425,17268,28393
865,55704,33487,55482
866,19404,18766,19334
867,38743,15988,38672
868,13213,27347,13111
869,18169,59584,18126
870,30798,59051,30795
871,41782,35239,41688
872,6404,3179,6387
873,19643,53378,19574
874,62432,47446,62143
875,36044,60793,36042
876,45741,26576,45603
877,46533,59619,46419
878,20305,22641,20248
879,40238,55666,40143
880,37942,64998,37926
881,42356,47099,42268
882,34631,26390,34643
883,18032,15429,17977
884,24457,12750,24458
885,18738,49060,18675
886,6173,50019,6158
887,13111,1190,13006
888,48466,35598,48311
889,50560,20106,50350
890,15985,52872,15861
891,1175,56551,1115
892,37031,38431,36980
893,23650,24817,23672
894,46093,32331,45958
895,56935,54065,56711
896,55470,62792,55225
897,42026,43173,41932
898,17180,22964,17133
899,43374,26241,43269
900,64768,38123,64466
901,25088,253,25057
902,30271,11907,30247
903,37321,42891,37270
904,36102,8485,36098
905,14356,65130,14230
906,47790,42161,47636
907,7095,2295,7058
908,60927,2768,60678
909,8279,27306,8287
910,4625,34533,4585
911,20451,6212,20395
912,54133,37184,53933
913,62587,20418,62283
914,33008,64529,33009
915,41761,35713,41667
916,1804,37655,1781
917,4407,8184,4381
918,34297,12348,34325
919,35412,30546,35437
920,53552,352,53362
921,49455,21797,49251
922,5631,15232,5626
923,17078,34616,17029
924,24521,15278,24518
925,57003,32248,56791
926,7523,29333,7469
927,50905,48817,50719
928,1370,42338,1325
929,3380,15111,3379
930,62126,16533,61828
931,15084,43286,14976
932,24675,48258,24647
